mois,produit,quantite_totale,valeur_totale,prix_moyen_pondere
2019-06,coca canette,1.0,0.0,0.0
2019-06,coca1/2 litre,1.0,0.0,0.0
2019-06,eau minéral,2.0,0.0,0.0
2019-06,excelence,1.0,0.0,0.0
2019-06,isis,1.0,0.0,0.0
2019-06,jus negaous,1.0,0.0,0.0
2019-06,les petits sachets en papier,1.0,0.0,0.0
2019-06,ognion,30.0,0.0,0.0
2019-06,sachets plastiques de 5kg,1.0,0.0,0.0
2019-06,tadjine,1.0,0.0,0.0
2019-07,amina baghrir,1.0,0.0,0.0
2019-07,chifons,2.0,0.0,0.0
2019-07,goblets,100.0,0.0,0.0
2019-07,pile,1.0,0.0,0.0
2019-07,puce djezzy,1.0,0.0,0.0
2019-07,vachette,1.0,0.0,0.0
2019-10,aliminium,1.0,0.0,0.0
2019-10,bassines,2.0,0.0,0.0
2019-10,goblets,150.0,0.0,0.0
2019-10,sac poubelle +sachets de congelation,4.0,0.0,0.0
2019-10,tansport,1.0,0.0,0.0
2020-01,alumium,1.0,0.0,0.0
2020-01,amina baghrire,1.0,0.0,0.0
2020-01,arachides efilé,500.0,0.0,0.0
2020-01,barquettes,6.0,0.0,0.0
2020-01,blanc de poulet,1.0,0.0,0.0
2020-01,boite de mekiret,2.0,0.0,0.0
2020-01,boites 08/06,1.0,0.0,0.0
2020-01,boites 08/07,3.0,0.0,0.0
2020-01,boites 36/07,4.0,0.0,0.0
2020-01,boites 36/10,5.0,0.0,0.0
2020-01,boites 48/10,3.0,0.0,0.0
2020-01,"boites48/10,36/10,36/07",3.0,0.0,0.0
2020-01,briquets,2.0,0.0,0.0
2020-01,cachir,2.0,0.0,0.0
2020-01,coca cola,1.0,0.0,0.0
2020-01,coca cola cannette,1.0,0.0,0.0
2020-01,confiture,36.0,0.0,0.0
2020-01,connexion,1.0,0.0,0.0
2020-01,courgette navet carrote poivre,5.0,0.0,0.0
2020-01,cuisses de poulet,9.0,0.0,0.0
2020-01,deyoul,23.0,0.0,0.0
2020-01,décapant,7.0,0.0,0.0
2020-01,détergeants pour le ménage de demain,7.0,0.0,0.0
2020-01,détergents,5.0,0.0,0.0
2020-01,facebook,1.0,0.0,0.0
2020-01,fetour,26.0,0.0,0.0
2020-01,flexy connexion,1.0,0.0,0.0
2020-01,goblets,2.0,0.0,0.0
2020-01,goblets de sorbet,1.0,0.0,0.0
2020-01,herbes,46.0,0.0,0.0
2020-01,herebes,8.0,0.0,0.0
2020-01,isis,1.0,0.0,0.0
2020-01,isis en poudre,1.0,0.0,0.0
2020-01,javel 5 litres,1.0,0.0,0.0
2020-01,lait,2.0,0.0,0.0
2020-01,lait candia,1.0,0.0,0.0
2020-01,les boites,5.0,0.0,0.0
2020-01,les ingrédients des quiches,5.0,0.0,0.0
2020-01,les quissetes,9.0,0.0,0.0
2020-01,les quissetes +dentelle,5.0,0.0,0.0
2020-01,légumes + herbes + poichiche,10.0,0.0,0.0
2020-01,madina,4.0,0.0,0.0
2020-01,morceaux de viandes,3.0,0.0,0.0
2020-01,"nacré, quissettes",3.0,0.0,0.0
2020-01,optella,2.0,0.0,0.0
2020-01,papier absorbat,3.0,0.0,0.0
2020-01,papier aluminium,1.0,0.0,0.0
2020-01,plateau oeufs,2.0,0.0,0.0
2020-01,poids chiche,1.0,0.0,0.0
2020-01,poulet,1.0,0.0,0.0
2020-01,poulet 2 cuisse +blanc,3.0,0.0,0.0
2020-01,ralonge,1.0,0.0,0.0
2020-01,rouiba,1.0,0.0,0.0
2020-01,sachet en papier,1.0,0.0,0.0
2020-01,sachets de congélation,3.0,0.0,0.0
2020-01,sachets en papier 23,1.0,0.0,0.0
2020-01,sachets en papier moyen,1.0,0.0,0.0
2020-01,sachets transparent,2.0,0.0,0.0
2020-01,sacs poubelle +pelle+lave sol,3.0,0.0,0.0
2020-01,sandwiches,6.0,0.0,0.0
2020-01,sel,1.0,0.0,0.0
2020-01,semoule baraka fine,34.0,0.0,0.0
2020-01,semoule fine mama,4.0,0.0,0.0
2020-01,semoule moyenne sim,5.0,0.0,0.0
2020-01,serpière+pala,2.0,0.0,0.0
2020-01,serviètte,5.0,0.0,0.0
2020-01,storm,3.0,0.0,0.0
2020-01,storme,1.0,0.0,0.0
2020-01,sucre glace,10.0,0.0,0.0
2020-01,taxi transport personel,1.0,0.0,0.0
2020-01,transport,16.0,0.0,0.0
2020-01,transport yassir,8.0,0.0,0.0
2020-01,transport zehor,2.0,0.0,0.0
2020-01,yaourt,32.0,0.0,0.0
2020-01,épices,2.0,0.0,0.0
2020-03,huile fridor 10 litres,26.0,0.0,0.0
2020-03,isis,1.0,0.0,0.0
2020-03,jus,4.0,0.0,0.0
2020-03,orange jus,1.0,0.0,0.0
2020-03,orange mangue jus,1.0,0.0,0.0
2020-03,papier alumiuim,1.0,0.0,0.0
2020-03,transport,4.0,0.0,0.0
2020-05,7alewe torek oeufs miel,111.0,0.0,0.0
2020-05,bicarbonate,1.0,0.0,0.0
2020-05,caocao efilet,500.0,0.0,0.0
2020-05,chaherazed pistach 800g,1.0,0.0,0.0
2020-05,citron,2.0,0.0,0.0
2020-05,dentelle,1.0,0.0,0.0
2020-05,deyoul,10.0,0.0,0.0
2020-05,deyoul elaila,2.0,0.0,0.0
2020-05,détergents,6.0,0.0,0.0
2020-05,fardeaux d'eau,5.0,0.0,0.0
2020-05,flexy,1.0,0.0,0.0
2020-05,fromage,1.0,0.0,0.0
2020-05,gateaux souad,438.0,0.0,0.0
2020-05,gaz,1.0,0.0,0.0
2020-05,herbes,26.0,0.0,0.0
2020-05,herebes,4.0,0.0,0.0
2020-05,isis,1.0,0.0,0.0
2020-05,khoubezet tounes,110.0,0.0,0.0
2020-05,la pate,1.0,0.0,0.0
2020-05,lait,1.0,0.0,0.0
2020-05,les quisettes,5.0,0.0,0.0
2020-05,les quissetes,6.0,0.0,0.0
2020-05,les quissetes 12,3.0,0.0,0.0
2020-05,les quissetes pr samsa,2.0,0.0,0.0
2020-05,levure chimiques,5.0,0.0,0.0
2020-05,liquisette,3.0,0.0,0.0
2020-05,maa ezehar,3.0,0.0,0.0
2020-05,maa zehar,9.0,0.0,0.0
2020-05,oeufs,30.0,0.0,0.0
2020-05,papier serviettes,200.0,0.0,0.0
2020-05,pinture,1.0,0.0,0.0
2020-05,plateau oeuf,1.0,0.0,0.0
2020-05,rass tabouna,1.0,0.0,0.0
2020-05,rombouressement,1.0,0.0,0.0
2020-05,scotch,1.0,0.0,0.0
2020-05,serpiere sanibon serviettes ben papier,3.0,0.0,0.0
2020-05,serpilleire,2.0,0.0,0.0
2020-05,storme ooredoo,1.0,0.0,0.0
2020-05,tabouna,1.0,0.0,0.0
2020-05,transport,5.0,0.0,0.0
2020-06,boite de thon,2.0,0.0,0.0
