id,Nom,Type,Catégorie,Unité,SKU,Prix_Revient,Prix_Vente
205,Barquette 1185,Consommable,Consommables,pièce,,,35.00
213,Boîte Raib,Consommable,Consommables,pièce,,,10.50
206,Boîtes 500ccl,Consommable,Consommables,pièce,,10.0000,
180,Canette Coca Cola ,Produit Fini,Boissons ,pièce,,60.0000,100.00
187,Canette Fanta Orange ,Produit Fini,Boissons ,pièce,,50.0000,100.00
170,Canette Hamoud Annanas,Produit Fini,Boissons ,pièce,,44.0000,100.00
178,Canette Hamoud Cola ,Produit Fini,Boissons ,pièce,,44.0000,100.00
176,Canette Hamoud Litchi,Produit Fini,Boissons ,pièce,,44.0000,100.00
171,Canette Hamoud Orange,Produit Fini,Boissons ,pièce,,44.0000,100.00
172,Canette Hamoud Pomme,Produit Fini,Boissons ,pièce,,44.0000,100.00
177,Canette Hamoud Selecto,Produit Fini,Boissons ,pièce,,44.0000,100.00
173,Canette Hamoud citron,Produit Fini,Boissons ,pièce,,44.0000,100.00
174,Canette Hamoud poire,Produit Fini,Boissons ,pièce,,44.0000,100.00
175,Canette Hamoud pèche ,Produit Fini,Boissons ,pièce,,44.0000,100.00
181,Canette Izem Blanc ,Produit Fini,Boissons ,pièce,,72.0000,100.00
183,Canette Izem Bleu,Produit Fini,Boissons ,pièce,,72.0000,100.00
184,Canette Izem Noir ,Produit Fini,Boissons ,pièce,,72.0000,100.00
185,Canette Izem Rouge,Produit Fini,Boissons ,pièce,,72.0000,100.00
182,Canette Izem Violet ,Produit Fini,Boissons ,pièce,,72.0000,100.00
179,Canette Shwepes Gold,Produit Fini,Boissons ,pièce,,73.0000,100.00
186,Canette Sprit,Produit Fini,Boissons ,pièce,,50.0000,100.00
193,Eau Miniral 0.5,Produit Fini,Boissons ,g,,16.0000,40.00
188,Hamoud Bouteille Blanc 33 cl,Produit Fini,Boissons ,pièce,,35.0000,80.00
190,Hamoud Bouteille Cola 33 cl,Produit Fini,Boissons ,pièce,,35.0000,80.00
189,Hamoud Bouteille Orange 33cl,Produit Fini,Boissons ,pièce,,35.0000,80.00
194,Hamoud Bouteille pomme 33cl,Produit Fini,Boissons ,pièce,,35.0000,80.00
192,Jus Rouiba 20cl,Produit Fini,Boissons ,pièce,,21.0000,40.00
191,Jus Tchina Orange 33 cl,Produit Fini,Boissons ,pièce,,44.0000,80.00
120,Quiches Viande Hachée ,Produit Fini,Boissons ,pièce,,,150.00
